Caddo,3/19/2020,7
Caddo,3/20/2020,12
Caddo,3/21/2020,15
Caddo,3/22/2020,15
Caddo,3/23/2020,34
Caddo,3/24/2020,40
Caddo,3/25/2020,93
Caddo,3/26/2020,115
Caddo,3/27/2020,140
Caddo,3/28/2020,189
Caddo,3/29/2020,219
Caddo,3/30/2020,222
Caddo,3/31/2020,242
Caddo,4/1/2020,298
Caddo,4/2/2020,336
Caddo,4/3/2020,377
Caddo,4/4/2020,598
Caddo,4/5/2020,647
Caddo,4/6/2020,711
Caddo,4/7/2020,756
Caddo,4/8/2020,803
Caddo,4/9/2020,906
Caddo,4/10/2020,950
Caddo,4/11/2020,974
Caddo,4/12/2020,1018
Caddo,4/13/2020,1033
Caddo,4/14/2020,1097
Caddo,4/15/2020,1118
Caddo,4/16/2020,1154
Caddo,4/17/2020,1220
Caddo,4/18/2020,1244
Caddo,4/19/2020,1261
Caddo,4/20/2020,1276
Caddo,4/21/2020,1310
Caddo,4/22/2020,1332
Caddo,4/23/2020,1389
Caddo,4/24/2020,1407
Caddo,4/25/2020,1432
Caddo,4/26/2020,1448
Caddo,4/27/2020,1470
Caddo,4/28/2020,1497
Caddo,4/29/2020,1525
